,categories,city,country,name,phone,rating,review_count,state,street,url,yelp_alias,zip_code
32,General Dentistry | Cosmetic Dentists | Orthodontists,Walnut Creek,US,"Mark R Maher, DDS",(925) 935-1159,5.0,16,CA,1855 San Miguel Dr - Ste 1,https://www.yelp.com/biz/mark-r-maher-dds-walnut-creek,mark-r-maher-dds-walnut-creek,94596
33,Cosmetic Dentists | General Dentistry,Lafayette,US,"Raj Talwar, DDS",(925) 283-3305,5.0,8,CA,919 Moraga Rd,https://www.yelp.com/biz/raj-talwar-dds-lafayette-3,raj-talwar-dds-lafayette-3,94549
34,General Dentistry | Cosmetic Dentists | Orthodontists,Walnut Creek,US,Ygnacio Dental,(925) 280-2848,4.5,21,CA,1766 Lacassie - Ste 101,https://www.yelp.com/biz/ygnacio-dental-walnut-creek,ygnacio-dental-walnut-creek,94596
35,General Dentistry | Cosmetic Dentists,Walnut Creek,US,"John C Noakes, DDS",(925) 934-0440,5.0,12,CA,150 Petticoat Ln,https://www.yelp.com/biz/john-c-noakes-dds-walnut-creek-2,john-c-noakes-dds-walnut-creek-2,94596
36,General Dentistry | Cosmetic Dentists | Endodontists,Pleasant Hill,US,Pleasant Hill Dental,(925) 692-2010,4.5,59,CA,1894 Contra Costa Blvd,https://www.yelp.com/biz/pleasant-hill-dental-pleasant-hill,pleasant-hill-dental-pleasant-hill,94523
37,Oral Surgeons | General Dentistry | Cosmetic Dentists,Walnut Creek,US,"Paula Roemer, DDS",(925) 937-2100,4.0,39,CA,1901 Olympic Blvd - Ste 105,https://www.yelp.com/biz/paula-roemer-dds-walnut-creek,paula-roemer-dds-walnut-creek,94596
38,Cosmetic Dentists | Oral Surgeons | Prosthodontists,Walnut Creek,US,Dental Implant Center,(925) 266-3550,5.0,16,CA,1111 Civic Dr - Ste 320,https://www.yelp.com/biz/dental-implant-center-walnut-creek-2,dental-implant-center-walnut-creek-2,94596
39,Oral Surgeons | Orthodontists,Pleasant Hill,US,Pleasant Hill Oral Surgery,(925) 689-8500,5.0,29,CA,401 Gregory Ln - Suite 208,https://www.yelp.com/biz/pleasant-hill-oral-surgery-pleasant-hill,pleasant-hill-oral-surgery-pleasant-hill,94523
40,Orthodontists,Walnut Creek,US,"Michelle A Masuda, DDS, MSD",(925) 934-3583,5.0,18,CA,1855 San Miguel Dr - Ste 22,https://www.yelp.com/biz/michelle-a-masuda-dds-msd-walnut-creek,michelle-a-masuda-dds-msd-walnut-creek,94596
41,Periodontists,Lafayette,US,"Eric Martin DDS, MS",(925) 283-8101,4.5,10,CA,895 Moraga Rd - Ste 6,https://www.yelp.com/biz/eric-martin-dds-ms-lafayette,eric-martin-dds-ms-lafayette,94549
42,General Dentistry | Cosmetic Dentists,Walnut Creek,US,"Daniel J Moore, DDS",(925) 939-3931,5.0,14,CA,1844 San Miguel Dr - Ste 100,https://www.yelp.com/biz/daniel-j-moore-dds-walnut-creek,daniel-j-moore-dds-walnut-creek,94596
43,Orthodontists | General Dentistry,Walnut Creek,US,Wafelbakker Anderson Orthodontics,(925) 935-5630,5.0,14,CA,1855 San Miguel Dr - Ste 33,https://www.yelp.com/biz/wafelbakker-anderson-orthodontics-walnut-creek,wafelbakker-anderson-orthodontics-walnut-creek,94596
44,Pediatric Dentists,Moraga,US,Moraga Pediatric Dentistry,(925) 247-0193,4.5,20,CA,533 Moraga Rd - Ste 100,https://www.yelp.com/biz/moraga-pediatric-dentistry-moraga,moraga-pediatric-dentistry-moraga,94556
45,Oral Surgeons | Cosmetic Dentists | General Dentistry,Lafayette,US,"John H Kim, DDS",(925) 284-9404,4.5,10,CA,901 Moraga Rd - Ste B - Family & Cosmetic Dental Care,https://www.yelp.com/biz/john-h-kim-dds-lafayette,john-h-kim-dds-lafayette,94549
46,General Dentistry | Cosmetic Dentists,Pleasant Hill,US,"Ricardo M Perez, DDS",(925) 687-2299,5.0,31,CA,81 Gregory Ln - Ste 320,https://www.yelp.com/biz/ricardo-m-perez-dds-pleasant-hill,ricardo-m-perez-dds-pleasant-hill,94523
47,General Dentistry,Walnut Creek,US,"Louie Terence, DDS",(925) 939-2633,5.0,13,CA,1814 San Miguel Dr,https://www.yelp.com/biz/louie-terence-dds-walnut-creek,louie-terence-dds-walnut-creek,94596
48,Orthodontists,Walnut Creek,US,"Timothy R Pearson, DDS",(925) 946-9155,4.5,15,CA,1844 San Miguel Dr - Ste 207,https://www.yelp.com/biz/timothy-r-pearson-dds-walnut-creek-2,timothy-r-pearson-dds-walnut-creek-2,94596
49,Endodontists,Walnut Creek,US,Walnut Creek Endodontics,(925) 934-4011,4.5,17,CA,1855 Olympic Blvd - Ste 360,https://www.yelp.com/biz/walnut-creek-endodontics-walnut-creek,walnut-creek-endodontics-walnut-creek,94596
50,Orthodontists,Walnut Creek,US,Schellinck Orthodontics,(925) 300-3619,5.0,10,CA,1855 San Miguel Dr - Ste 14,https://www.yelp.com/biz/schellinck-orthodontics-walnut-creek,schellinck-orthodontics-walnut-creek,94596
51,Pediatric Dentists,Pleasant Hill,US,Pediatric Dentistry Of Pleasant Hill,(925) 947-1188,4.0,73,CA,2710 Pleasant Hill Rd,https://www.yelp.com/biz/pediatric-dentistry-of-pleasant-hill-pleasant-hill,pediatric-dentistry-of-pleasant-hill-pleasant-hill,94523
52,Endodontists,Lafayette,US,"Dastmalchi Yass, DDS",(925) 299-0193,4.0,15,CA,3505 School St,https://www.yelp.com/biz/dastmalchi-yass-dds-lafayette,dastmalchi-yass-dds-lafayette,94549
53,Oral Surgeons | General Dentistry,Walnut Creek,US,"Loder D David, DDS",(925) 932-4811,5.0,10,CA,170 Petticoat Ln,https://www.yelp.com/biz/loder-d-david-dds-walnut-creek,loder-d-david-dds-walnut-creek,94596
54,Cosmetic Dentists | Sleep Specialists,Lafayette,US,Renaissance Dental Group,(925) 283-0338,4.0,14,CA,935 Moraga Rd - Ste 101,https://www.yelp.com/biz/renaissance-dental-group-lafayette,renaissance-dental-group-lafayette,94549
55,Orthodontists,Lafayette,US,"Jon E Sammann, DDS",(925) 284-4866,4.5,8,CA,895 Moraga Rd - Ste 9,https://www.yelp.com/biz/jon-e-sammann-dds-lafayette,jon-e-sammann-dds-lafayette,94549
56,General Dentistry,Pleasant Hill,US,"Randy Bautista, DDS",(925) 685-8587,4.5,42,CA,140 Gregory Ln - Ste 200 - Pleasant Hill Dentistry,https://www.yelp.com/biz/randy-bautista-dds-pleasant-hill,randy-bautista-dds-pleasant-hill,94523
57,Pediatric Dentists | Periodontists | Cosmetic Dentists,Walnut Creek,US,"Maryam Doroudian, DDS",(925) 262-1162,4.5,20,CA,1804 San Miguel Dr,https://www.yelp.com/biz/maryam-doroudian-dds-walnut-creek-2,maryam-doroudian-dds-walnut-creek-2,94596
58,General Dentistry,Lafayette,US,"Fatima Beheshti, DDS",(925) 299-9922,4.5,11,CA,911 Moraga Rd - Ste 102,https://www.yelp.com/biz/fatima-beheshti-dds-lafayette,fatima-beheshti-dds-lafayette,94549
59,General Dentistry,Lafayette,US,"Jessica C Schellinck, DDS",(925) 283-5454,5.0,5,CA,895 Moraga Rd - Ste 1,https://www.yelp.com/biz/jessica-c-schellinck-dds-lafayette-2,jessica-c-schellinck-dds-lafayette-2,94549
60,General Dentistry,Lafayette,US,"Mark F Swimmer, DDS",(925) 283-0114,4.5,8,CA,907 Moraga Rd,https://www.yelp.com/biz/mark-f-swimmer-dds-lafayette,mark-f-swimmer-dds-lafayette,94549
61,Cosmetic Dentists | General Dentistry,Walnut Creek,US,"Frank Skiba, DDS",(925) 934-8149,5.0,10,CA,1855 San Miguel Dr,https://www.yelp.com/biz/frank-skiba-dds-walnut-creek-4,frank-skiba-dds-walnut-creek-4,94596
62,Oral Surgeons | General Dentistry | Cosmetic Dentists,Pleasant Hill,US,Pleasant Hill Smiles Dentistry,(925) 363-4455,3.5,130,CA,2380 Monument Blvd - Ste F,https://www.yelp.com/biz/pleasant-hill-smiles-dentistry-pleasant-hill-2,pleasant-hill-smiles-dentistry-pleasant-hill-2,94523
63,Cosmetic Dentists | Pediatric Dentists | General Dentistry,Walnut Creek,US,"Matthew V Tognotti, DDS",(925) 934-2066,5.0,10,CA,1844 San Miguel Dr - Ste 102,https://www.yelp.com/biz/matthew-v-tognotti-dds-walnut-creek,matthew-v-tognotti-dds-walnut-creek,94596
64,General Dentistry | Cosmetic Dentists | Pediatric Dentists,Orinda,US,Orinda Dental Care,(925) 254-3725,5.0,13,CA,8 Camino Encinas - Ste 110,https://www.yelp.com/biz/orinda-dental-care-orinda,orinda-dental-care-orinda,94563
65,Cosmetic Dentists | Pediatric Dentists | General Dentistry,Orinda,US,"Virginia H. Ellis DDS, Dental",(925) 254-4043,4.5,20,CA,77 Moraga Way - Ste E,https://www.yelp.com/biz/virginia-h-ellis-dds-dental-orinda,virginia-h-ellis-dds-dental-orinda,94563
66,General Dentistry | Pediatric Dentists | Cosmetic Dentists,Pleasant Hill,US,"Miguel Ibarra, DDS",(925) 676-5680,5.0,17,CA,70 Doray Dr - Ste 3,https://www.yelp.com/biz/miguel-ibarra-dds-pleasant-hill-2,miguel-ibarra-dds-pleasant-hill-2,94523
67,Oral Surgeons,Walnut Creek,US,"David M Rainero, DMD",(925) 934-5565,4.5,14,CA,1855 San Miguel Dr - Ste 25,https://www.yelp.com/biz/david-m-rainero-dmd-walnut-creek,david-m-rainero-dmd-walnut-creek,94596
68,General Dentistry | Cosmetic Dentists,Pleasant Hill,US,"Michael E Huguet, DDS & Associates",(925) 945-6204,4.5,21,CA,710 Grayson Rd - Michael E Huguet & Associates,https://www.yelp.com/biz/michael-e-huguet-dds-and-associates-pleasant-hill-4,michael-e-huguet-dds-and-associates-pleasant-hill-4,94523
69,Cosmetic Dentists | General Dentistry,Walnut Creek,US,"Vanessa Gloor, RDH DDS",(925) 939-3997,4.5,14,CA,1844 San Miguel Dr - Ste 106,https://www.yelp.com/biz/vanessa-gloor-rdh-dds-walnut-creek,vanessa-gloor-rdh-dds-walnut-creek,94596
70,General Dentistry,Lafayette,US,"Troy A Lauritzen, DDS",(925) 283-0114,4.0,10,CA,907 Moraga Rd,https://www.yelp.com/biz/troy-a-lauritzen-dds-lafayette,troy-a-lauritzen-dds-lafayette,94549
71,General Dentistry | Prosthodontists | Cosmetic Dentists,Walnut Creek,US,"Curtis L Barmby, DDS, FACP",(925) 934-5526,4.5,15,CA,1802 San Miguel Dr,https://www.yelp.com/biz/curtis-l-barmby-dds-facp-walnut-creek-2,curtis-l-barmby-dds-facp-walnut-creek-2,94596
72,Periodontists,Walnut Creek,US,"Eric S Tsai, DMD, Inc.",(925) 944-1033,4.5,15,CA,1855 San Miguel Dr - Ste 10,https://www.yelp.com/biz/eric-s-tsai-dmd-inc-walnut-creek,eric-s-tsai-dmd-inc-walnut-creek,94596
73,General Dentistry | Endodontists | Cosmetic Dentists,Martinez,US,Pleasant Dental Care,(925) 300-3671,5.0,15,CA,6684 Alhambra Ave,https://www.yelp.com/biz/pleasant-dental-care-martinez,pleasant-dental-care-martinez,94553
74,General Dentistry | Cosmetic Dentists,Walnut Creek,US,"Ryan M Miyasaki, DDS",(925) 934-3251,4.5,13,CA,2225 Olympic Blvd,https://www.yelp.com/biz/ryan-m-miyasaki-dds-walnut-creek,ryan-m-miyasaki-dds-walnut-creek,94595
75,General Dentistry,Walnut Creek,US,Runyon Carl R DMD,(925) 934-5565,5.0,9,CA,1855 San Miguel Dr - Ste 25,https://www.yelp.com/biz/runyon-carl-r-dmd-walnut-creek,runyon-carl-r-dmd-walnut-creek,94596
76,Oral Surgeons,Walnut Creek,US,"Nestor D. Karas, DDS, MD",(925) 933-6190,4.5,18,CA,1800 San Miguel Dr,https://www.yelp.com/biz/nestor-d-karas-dds-md-walnut-creek,nestor-d-karas-dds-md-walnut-creek,94596
77,General Dentistry,Lafayette,US,"Wake Ronald Yukio, DDS",(925) 283-0280,5.0,4,CA,895 Moraga Rd - Ste 2,https://www.yelp.com/biz/wake-ronald-yukio-dds-lafayette,wake-ronald-yukio-dds-lafayette,94549
78,Periodontists,Walnut Creek,US,"Dwayne Kim Martin, DDS MS",(925) 932-1422,5.0,8,CA,1855 San Miguel Dr - Ste 21,https://www.yelp.com/biz/dwayne-kim-martin-dds-ms-walnut-creek,dwayne-kim-martin-dds-ms-walnut-creek,94596
79,Endodontists,Pleasant Hill,US,Choice Endodontics,(925) 363-3553,4.5,32,CA,81 Gregory Ln,https://www.yelp.com/biz/choice-endodontics-pleasant-hill,choice-endodontics-pleasant-hill,94523
80,Cosmetic Dentists | Oral Surgeons | General Dentistry,Walnut Creek,US,"Donna K Barpal, DDS",(925) 935-1977,4.5,10,CA,3164 Putnam Blvd - Ste A,https://www.yelp.com/biz/donna-k-barpal-dds-walnut-creek,donna-k-barpal-dds-walnut-creek,94597
81,Cosmetic Dentists | General Dentistry | Endodontists,Walnut Creek,US,"Allan Capinpin, DDS",(925) 932-3366,5.0,13,CA,1776 Ygnacio Valley Rd,https://www.yelp.com/biz/allan-capinpin-dds-walnut-creek,allan-capinpin-dds-walnut-creek,94598
82,General Dentistry | Pediatric Dentists | Cosmetic Dentists,Pleasant Hill,US,Bay Hill Dental,(925) 685-9500,4.5,18,CA,401 Gregory Ln - Ste 204,https://www.yelp.com/biz/bay-hill-dental-pleasant-hill,bay-hill-dental-pleasant-hill,94523
83,General Dentistry | Cosmetic Dentists,Lafayette,US,Art of Smile,(925) 299-1504,4.0,8,CA,3370 Mt Diablo Blvd,https://www.yelp.com/biz/art-of-smile-lafayette,art-of-smile-lafayette,94549
84,General Dentistry | Cosmetic Dentists,Pleasant Hill,US,"Kenneth J Fraga, DDS",(925) 687-0343,5.0,11,CA,401 Gregory Ln - Ste 222,https://www.yelp.com/biz/kenneth-j-fraga-dds-pleasant-hill-2,kenneth-j-fraga-dds-pleasant-hill-2,94523
85,Orthodontists | Oral Surgeons,Pleasant Hill,US,"Donald W Linck II, DDS",(925) 933-0435,4.5,10,CA,3147 Putnam Blvd,https://www.yelp.com/biz/donald-w-linck-ii-dds-pleasant-hill-4,donald-w-linck-ii-dds-pleasant-hill-4,94523
86,General Dentistry,Pleasant Hill,US,"Jerry Yao, DDS",(925) 676-7310,5.0,13,CA,2255 Contra Costa Blvd - Ste 303,https://www.yelp.com/biz/jerry-yao-dds-pleasant-hill,jerry-yao-dds-pleasant-hill,94523
87,General Dentistry,Lafayette,US,Highland Dentistry,(925) 298-5386,5.0,4,CA,3466 Mt Diablo Blvd - Ste C207,https://www.yelp.com/biz/highland-dentistry-lafayette,highland-dentistry-lafayette,94549
88,Orthodontists,Pleasant Hill,US,"Martin, Jennifer L, DDS",(925) 676-8485,5.0,13,CA,401 Gregory Ln,https://www.yelp.com/biz/martin-jennifer-l-dds-pleasant-hill-3,martin-jennifer-l-dds-pleasant-hill-3,94523
89,General Dentistry,Orinda,US,Rikli & Santos Family Dentistry,(925) 253-0165,5.0,7,CA,93 Moraga Way - Ste 201,https://www.yelp.com/biz/rikli-and-santos-family-dentistry-orinda,rikli-and-santos-family-dentistry-orinda,94563
90,Orthodontists,Pleasant Hill,US,Pleasant Hill Orthodontics,(925) 322-0005,5.0,13,CA,81 Gregory Ln - Ste 240,https://www.yelp.com/biz/pleasant-hill-orthodontics-pleasant-hill,pleasant-hill-orthodontics-pleasant-hill,94523
91,General Dentistry,Pleasant Hill,US,"Ronald E Grafton, DDS",(925) 687-6202,4.5,21,CA,81 Gregory Ln - Ste 110,https://www.yelp.com/biz/ronald-e-grafton-dds-pleasant-hill,ronald-e-grafton-dds-pleasant-hill,94523
92,General Dentistry,Walnut Creek,US,"Chen Clark, DDS",(925) 944-5355,4.5,9,CA,1806 San Miguel Dr,https://www.yelp.com/biz/chen-clark-dds-walnut-creek,chen-clark-dds-walnut-creek,94596
93,Cosmetic Dentists | General Dentistry,Walnut Creek,US,Diablo Pacific Dental Group,(925) 945-7366,3.0,64,CA,1818 San Miguel Dr,https://www.yelp.com/biz/diablo-pacific-dental-group-walnut-creek-3,diablo-pacific-dental-group-walnut-creek-3,94596
94,Cosmetic Dentists | Pediatric Dentists | General Dentistry,Walnut Creek,US,"Family Dentistry of Walnut Creek - Troy Schmedding, DDS",(925) 932-2110,4.5,14,CA,106 La Casa Via - Ste 280,https://www.yelp.com/biz/family-dentistry-of-walnut-creek-troy-schmedding-dds-walnut-creek,family-dentistry-of-walnut-creek-troy-schmedding-dds-walnut-creek,94598
95,General Dentistry,Lafayette,US,Sayegh Robert M DDS,(925) 284-4744,5.0,3,CA,895 Moraga Rd - Ste 14,https://www.yelp.com/biz/sayegh-robert-m-dds-lafayette,sayegh-robert-m-dds-lafayette,94549
96,General Dentistry,Pleasant Hill,US,"Robert P Rogers, DDS",(925) 939-6100,4.5,14,CA,764 Grayson Rd - Ste B,https://www.yelp.com/biz/robert-p-rogers-dds-pleasant-hill-2,robert-p-rogers-dds-pleasant-hill-2,94523
97,Endodontists,Pleasant Hill,US,Kenneth W Tittle DDS MS,(925) 676-3388,4.5,22,CA,401 Gregory Ln - Ste 118,https://www.yelp.com/biz/kenneth-w-tittle-dds-ms-pleasant-hill,kenneth-w-tittle-dds-ms-pleasant-hill,94523
98,Orthodontists,Orinda,US,Orinda Orthodontics,(925) 253-4900,4.5,10,CA,96 Davis Rd - Ste 1,https://www.yelp.com/biz/orinda-orthodontics-orinda-2,orinda-orthodontics-orinda-2,94563
99,Cosmetic Dentists | General Dentistry | Orthodontists,Moraga,US,"Scott D. Lothamer, DDS",(925) 376-4602,4.5,12,CA,1030 Country Club Dr - Ste F,https://www.yelp.com/biz/scott-d-lothamer-dds-moraga-2,scott-d-lothamer-dds-moraga-2,94556
100,General Dentistry | Cosmetic Dentists | Pediatric Dentists,Walnut Creek,US,"Antonio Margiotta, DMD - Dental Artistry",(707) 247-8166,4.0,13,CA,1844 San Miguel Dr - Ste 210,https://www.yelp.com/biz/antonio-margiotta-dmd-dental-artistry-walnut-creek-2,antonio-margiotta-dmd-dental-artistry-walnut-creek-2,94596
101,Cosmetic Dentists | General Dentistry | Periodontists,Pleasant Hill,US,"Mailene Soyster, DDS",(925) 267-8349,4.5,15,CA,401 Gregory Ln St - Ste 242,https://www.yelp.com/biz/mailene-soyster-dds-pleasant-hill-6,mailene-soyster-dds-pleasant-hill-6,94523
102,Oral Surgeons | Cosmetic Dentists | Prosthodontists,Walnut Creek,US,ClearChoice Dental Implant Center,(925) 705-4434,3.5,24,CA,1981 N Broadway - Ste 180,https://www.yelp.com/biz/clearchoice-dental-implant-center-walnut-creek,clearchoice-dental-implant-center-walnut-creek,94596
103,General Dentistry | Cosmetic Dentists | Endodontists,Walnut Creek,US,"Christopher Thompson, DDS",(925) 934-3251,4.0,10,CA,2225 Olympic Blvd,https://www.yelp.com/biz/christopher-thompson-dds-walnut-creek,christopher-thompson-dds-walnut-creek,94595
104,Pediatric Dentists,Pleasant Hill,US,"Drs May & Bessma Hayder, Pediatric Dentistry",(925) 363-4200,4.0,27,CA,401 Gregory Ln - Ste 236,https://www.yelp.com/biz/drs-may-and-bessma-hayder-pediatric-dentistry-pleasant-hill-2,drs-may-and-bessma-hayder-pediatric-dentistry-pleasant-hill-2,94523
