Name,Type,County,Population (2010),SQ Mi,Km2,Incorporated
Sausalito,City,Marin,"7,061",1.77,4.6,"September 4, 1893"
Sebastopol,City,Sonoma,"7,379",1.85,4.8,"June 13, 1902"
Sonoma,City,Sonoma,"10,648",2.74,7.1,"September 3, 1883"
South San Francisco,City,San Mateo,"63,632",9.14,23.7,"September 19, 1908"
Suisun City,City,Solano,"28,111",4.11,10.6,"October 9, 1868"
Sunnyvale,City,Santa Clara,"140,081",21.99,57,"December 24, 1912"
Tiburon,Town,Marin,"8,962",4.43,11.5,"June 23, 1964"
Union City,City,Alameda,"69,516",19.47,50.4,"January 26, 1959"
Vacaville,City,Solano,"92,428",28.37,73.5,"August 9, 1892"
Vallejo,City,Solano,"115,942",30.67,79.4,"March 30, 1868"
Walnut Creek,City,Contra Costa,"64,173",19.76,51.2,"October 21, 1914"
Windsor,Town,Sonoma,"26,801",7.27,18.8,"July 1, 1992"
Woodside,Town,San Mateo,"5,287",11.73,30.4,"November 16, 1956"
Yountville,Town,Napa,"2,933",1.53,4,"February 4, 1965"
